educ,meduc,feduc,age,kids,black,east,northcen,west,farm,othrural,town,smcity,year
12,8,8,48,4,0,0,1,0,0,0,0,0,2002
17,8,18,46,3,0,0,0,0,0,1,0,0,2002
12,7,8,53,2,0,0,1,0,0,1,0,0,2002
12,12,10,42,2,0,0,1,0,0,0,1,0,2002
12,3,8,51,2,0,0,0,0,1,0,0,0,2002
8,8,8,50,4,0,0,1,0,1,0,0,0,2002
12,12,10,47,0,0,0,1,0,0,0,1,0,2002
10,12,5,46,1,0,0,1,0,0,0,0,0,2002
12,8,8,41,2,0,0,1,0,0,0,0,0,2002
12,6,13,36,4,0,0,1,0,1,0,0,0,2002
14,16,13,36,2,0,0,0,1,0,0,0,0,2002
11,12,10,39,4,0,0,1,0,0,0,1,0,2002
12,5,3,49,5,0,0,1,0,0,0,1,0,2002
11,4,8,53,5,0,0,1,0,1,0,0,0,2002
18,10,18,38,5,0,0,0,1,0,1,0,0,2002
14,16,12,39,5,0,1,0,0,0,0,1,0,2002
10,1,6,45,5,1,0,0,0,0,1,0,0,2002
16,16,16,41,4,0,0,1,0,0,0,0,0,2002
12,8,8,41,3,0,0,1,0,0,0,0,0,2002
8,8,8,48,2,0,0,0,0,0,0,1,0,2002
17,4,4,53,1,0,1,0,0,0,0,0,0,2002
12,5,5,44,3,0,1,0,0,0,0,1,0,2002
12,8,6,43,2,0,0,0,0,1,0,0,0,2002
8,0,0,52,0,0,1,0,0,0,0,1,0,2002
14,8,14,47,2,0,1,0,0,0,0,0,1,2002
12,12,8,39,0,0,0,1,0,1,0,0,0,2002
12,8,7,44,5,0,1,0,0,0,0,0,1,2002
8,8,8,43,5,0,1,0,0,0,0,0,1,2002
12,8,8,44,4,0,1,0,0,0,0,0,1,2002
9,8,8,43,6,0,1,0,0,0,0,0,1,2002
12,0,5,43,3,0,1,0,0,0,0,1,0,2002
12,9,7,42,0,1,0,0,0,0,0,1,0,2002
12,12,12,53,1,0,1,0,0,0,1,0,0,2002
12,9,14,45,1,0,0,0,0,1,0,0,0,2002
12,6,10,51,5,0,1,0,0,0,0,1,0,2002
13,0,0,46,1,1,0,0,0,0,0,0,0,2002
8,8,8,36,3,0,0,0,0,1,0,0,0,2002
9,6,6,50,0,0,0,1,0,0,0,0,0,2002
8,0,0,50,1,0,0,1,0,0,0,0,0,2002
12,6,8,44,3,0,1,0,0,0,0,0,1,2002
12,8,8,42,3,0,1,0,0,0,0,1,0,2002
16,12,13,42,7,0,0,1,0,0,0,1,0,2002
15,10,12,53,0,0,0,1,0,0,0,1,0,2002
12,14,12,36,3,0,0,0,1,0,0,1,0,2002
11,7,7,42,5,0,0,0,0,0,0,0,0,2002
16,8,13,40,3,0,0,0,1,0,0,1,0,2002
12,7,8,52,2,0,1,0,0,0,0,0,0,2002
12,8,6,43,3,0,1,0,0,0,0,0,0,2002
14,4,8,36,1,0,1,0,0,0,0,1,0,2002
14,7,12,48,7,0,0,1,0,1,0,0,0,2002
7,3,6,49,5,0,0,1,0,1,0,0,0,2002
12,8,8,41,5,0,0,1,0,1,0,0,0,2002
12,8,16,47,5,0,0,1,0,0,0,1,0,2002
12,12,12,48,4,0,1,0,0,0,0,0,1,2002
12,11,9,47,2,0,0,0,0,1,0,0,0,2002
12,12,9,36,6,0,1,0,0,0,0,1,0,2002
8,4,8,44,4,0,0,0,0,0,0,1,0,2002
9,7,7,46,3,0,0,0,0,1,0,0,0,2002
14,8,8,46,3,0,0,0,0,1,0,0,0,2002
8,0,0,50,6,0,0,0,0,1,0,0,0,2002
9,3,8,45,2,0,0,1,0,0,0,0,0,2002
12,8,8,43,4,0,0,0,0,0,0,0,0,2002
12,8,7,53,2,1,1,0,0,0,0,1,0,2002
12,9,11,35,2,1,0,0,0,0,0,0,0,2002
14,8,12,51,3,0,0,1,0,0,0,0,0,2002
11,6,9,45,5,0,0,1,0,0,0,0,0,2002
14,12,12,44,3,0,0,0,0,1,0,0,0,2002
14,12,14,49,0,0,0,0,0,1,0,0,0,2002
14,9,12,38,6,0,0,1,0,0,0,0,1,2002
16,8,10,51,2,0,0,0,1,1,0,0,0,2002
16,12,12,53,3,0,1,0,0,0,0,0,1,2002
12,12,12,49,0,0,1,0,0,0,0,1,0,2002
12,6,7,46,5,0,1,0,0,0,0,1,0,2002
12,8,13,48,3,0,0,1,0,1,0,0,0,2002
12,13,8,43,5,0,0,0,1,0,0,0,1,2002
13,3,12,49,3,1,0,0,1,0,0,0,0,2002
12,5,6,36,3,0,0,0,0,0,0,0,0,2002
15,12,9,36,2,0,1,0,0,0,0,0,0,2002
12,10,10,35,2,0,0,0,0,1,0,0,0,2002
15,16,16,42,3,0,0,1,0,0,0,0,1,2002
9,8,8,54,5,0,0,0,1,0,0,1,0,2002
12,12,8,45,2,0,0,1,0,0,0,0,1,2002
8,0,0,53,4,1,0,0,0,0,0,1,0,2002
15,16,16,48,2,0,0,0,0,0,0,0,0,2002
12,8,8,53,3,0,0,0,0,0,1,0,0,2002
12,3,2,41,5,0,1,0,0,0,1,0,0,2002
12,6,4,51,2,0,1,0,0,0,1,0,0,2002
12,8,8,54,2,0,1,0,0,0,0,0,0,2002
8,2,2,44,3,1,0,0,0,0,0,1,0,2002
12,4,7,35,6,1,0,0,0,0,0,1,0,2002
8,0,0,42,5,1,0,0,0,0,0,1,0,2002
10,12,9,51,2,0,0,1,0,0,0,0,0,2002
12,14,10,38,2,0,0,0,1,1,0,0,0,2002
12,6,8,51,3,0,0,0,0,1,0,0,0,2002
11,7,7,49,1,0,0,0,0,0,0,1,0,2002
12,10,12,39,6,0,0,0,1,0,0,1,0,2002
12,12,16,53,0,0,0,0,1,0,0,0,0,2002
12,7,12,50,6,0,0,0,1,0,0,1,0,2002
11,8,10,36,5,0,0,0,1,0,0,0,1,2002
12,9,12,36,2,0,1,0,0,0,1,0,0,2002
13,12,12,41,3,0,1,0,0,0,0,0,0,2002
12,12,12,43,1,0,1,0,0,0,0,1,0,2002
12,12,13,43,4,0,0,0,1,0,0,0,0,2002
18,10,12,52,0,0,0,0,1,1,0,0,0,2002
19,14,8,47,2,0,0,1,0,0,0,1,0,2002
16,20,15,44,1,0,0,0,0,0,0,0,1,2002
16,16,14,35,2,0,0,0,0,0,0,0,1,2002
12,8,4,51,2,0,1,0,0,0,0,1,0,2002
12,8,12,46,4,0,1,0,0,0,0,0,0,2002
6,0,0,54,0,0,0,0,0,0,0,0,0,2002
12,8,8,43,3,0,1,0,0,0,0,0,0,2002
13,13,12,47,2,0,0,1,0,0,0,1,0,2002
12,8,12,36,0,0,0,0,1,0,1,0,0,2002
12,8,13,42,2,0,0,0,1,0,0,0,0,2002
8,8,8,49,3,0,1,0,0,0,0,1,0,2002
11,7,8,54,6,1,0,0,0,0,0,1,0,2002
12,4,7,46,1,0,0,0,0,1,0,0,0,2002
10,7,7,50,1,0,0,0,0,0,1,0,0,2002
13,11,14,48,4,0,0,0,0,0,0,0,1,2002
14,10,10,53,1,0,0,0,0,1,0,0,0,2002
12,5,4,38,2,0,0,0,0,1,0,0,0,2002
15,16,12,44,6,0,0,1,0,0,0,0,0,2002
8,12,6,48,0,0,0,0,0,0,0,1,0,2002
9,0,3,37,6,0,0,0,1,0,0,0,1,2002
11,5,8,46,4,0,0,0,0,0,0,1,0,2002
